Ranking	Meninos	Ranking	Meninas
1	Miguel	1	Sophia
2	Davi	2	Alice
3	Arthur	3	Julia
4	Pedro	4	Isabella
5	Gabriel	5	Manuela
6	Bernardo	6	Laura
7	Lucas	7	Luiza
8	Matheus	8	Valentina
9	Rafael	9	Giovanna
10	Heitor	10	Maria Eduarda
11	Enzo	11	Helena
12	Guilherme	12	Beatriz
13	Nicolas	13	Maria Luiza
14	Lorenzo	14	Lara
15	Gustavo	15	Mariana
16	Felipe	16	Nicole
17	Samuel	17	Rafaela
18	João Pedro	18	Heloísa
19	Daniel	19	Isadora
20	Vitor	20	Lívia
21	Leonardo	21	Maria Clara
22	Henrique	22	Ana Clara
23	Theo	23	Lorena
24	Murilo	24	Gabriela
25	Eduardo	25	Yasmin
26	Pedro Henrique	26	Isabelly
27	Pietro	27	Sarah
28	Cauã	28	Ana Julia
29	Isaac	29	Letícia
30	Caio	30	Ana Luiza
31	Vinicius	31	Melissa
32	Benjamin	32	Marina
33	João	33	Clara
34	Lucca	34	Cecília
35	João Miguel	35	Esther
36	Bryan	36	Emanuelly
37	Joaquim	37	Rebeca
38	João Vitor	38	Ana Beatriz
39	Thiago	39	Lavínia
40	Antônio	40	Vitória
41	Davi Lucas	41	Bianca
42	Francisco	42	Catarina
43	Enzo Gabriel	43	Larissa
44	Bruno	44	Maria Fernanda
45	Emanuel	45	Fernanda
46	João Gabriel	46	Amanda
47	Ian	47	Alícia
48	Davi Luiz	48	Carolina
49	Rodrigo	49	Agatha
50	Otávio	50	Gabrielly
